incident_id,date,n_killed,n_deaths < 2,n_injured,n_guns_involved,,,"Guns>1, Deaths>2","Guns=1, Deaths>2","Guns=1, Deaths<=2","Guns>1, Deaths<=2",,,Occasions where number of guns>1,Occasions where number of deaths>2
92117,01/01/2014,0,TRUE,1,1,FALSE,,10,63,6332,547,,,557,73
92135,01/01/2014,1,TRUE,0,1,FALSE,,,,,,,,Occasions where number of guns<=1,Occasions where number of deaths<=2
92151,01/01/2014,0,TRUE,1,1,FALSE,,,,,,,,6395,6879
92453,01/01/2014,0,TRUE,2,1,FALSE,,,,,,,,Total,Total
92508,02/01/2014,0,TRUE,1,1,FALSE,,,,,,,,6952,6952
92563,01/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
92623,01/01/2014,0,TRUE,0,1,FALSE,,,,,,,,2 or fewer deaths,More than 2 Deaths
92771,02/01/2014,0,TRUE,1,1,FALSE,,,,,,,1 gun,0.910817031,0.00906214
92774,03/01/2014,2,FALSE,0,1,FALSE,,,,,,,More than 1 gun,0.078682394,0.001438435
92859,01/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
92945,04/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
92954,03/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
93019,04/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
93118,05/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
93179,05/01/2014,1,TRUE,0,1,FALSE,,,,,,,,,
93682,06/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
93760,06/01/2014,0,TRUE,0,2,FALSE,,,,,,,,,
93918,07/01/2014,0,TRUE,2,2,FALSE,,,,,,,,,
93938,08/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
93974,08/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
94032,06/01/2014,2,FALSE,0,1,FALSE,,,,,,,,,
94035,07/01/2014,0,TRUE,1,2,FALSE,,,,,,,,,
94059,08/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
94075,07/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
94082,08/01/2014,0,TRUE,1,1,FALSE,,,,,,,,,
94092,08/01/2014,1,TRUE,1,1,FALSE,,,,,,,,,
94097,07/01/2014,0,TRUE,0,1,FALSE,,,,,,,,,
